1;Deutschschweiz;German part of Switzerland;Suisse alémanique;Svizzera tedesca
2;Region Zürich/ Schaffhausen;Region of Zurich/ Schaffhausen;Région Zurich/ Schaffhouse;Regione Zurigo/ Sciaffusa
3;Stadt Zürich/ Zürichsee;City of Zurich/ Lakeside;Ville de Zurich/ Lac de Zurich;Città di Zurigo/ Lago di Zurigo
4;Zürcher Oberland;Zurich Oberland;Oberland zurichois;Oberland Zurighese
5;Zürcher Unterland/ Limmattal;Zurich Unterland/ Limmattal;Unterland zurichois/ Limmattal;Unterland Zurighese/ Limmattal
6;Region Winterthur/ Schaffhausen;Region of Winterthur/ Schaffhausen;Région Winterthour/ Schaffhouse;Regione Winterthur/ Sciaffusa
7;Region Ostschweiz/ GR/ FL;Eastern Switzerland/ GR/ FL;Région Suisse Est/ GR/ FL;Regione Svizzera Orientale/ GR/ FL
8;Region Mittelland (AG / SO);Mittelland (AG / SO);Région Mittelland (AG / SO);Regione Mittelland Svizzero (AG / SO)
9;Region Bern;Region of Bern;Région Berne;Regione Berna
10;Region Basel;Region of Basel;Région Bâle;Regione Basilea
11;Region Zentralschweiz;Central Switzerland;Région Suisse centrale;Regione Svizzera Centrale
12;Westschweiz;Western Switzerland;Suisse romande;Svizzera Occidentale
13;Tessin;Ticino;Tessin;Ticino
14;Ausland;Abroad;Etranger;Estero
15;Region Oberwallis;Region of Oberwallis;Haut-Valais;Regione Obvaldo
16;Region Genf;Region of Geneva;Région Genève;Regione Ginevra
17;Region Neuchâtel/ Jura;Region of Neuchâtel/ Jura;Région Neuchâtel/ Jura;Regione Neuchâtel/ Giura
18;Region Fribourg;Region of Fribourg;Région Fribourg;Regione Friburgo
19;Region Waadt/ Unterwallis;Region of Vaud/ Valais;Région Vaud/ Valais;Regione Vaud/ Untervaldo
20;Wil/ Toggenburg;Wil/ Toggenburg;Wil/ Toggenburg;Wil/ Toggenburg
21;Thurgau/ Bodensee;Thurgau/ Bodensee;Thurgau/ Bodensee;Turgovia/ Lago di Costanza
22;St.Gallen/ Appenzell;St.Gall/ Appenzell;St.Gall/ Appenzell;San Gallo/ Appenzello
23;Rheintal/ FL/ Sargans/ Linth;Rheintal/ FL/ Sargans/ Linth;Rheintal/ FL/ Sargans/ Linth;Rheintal/ FL/ Sargans/ Linth
24;Graubünden;Graubünden;Grison;Grigioni
