1;Banken/ Finanzinstitute;Banques/Instituts financiers;Banking/Financial institutions;Banche/ istituti finanziari
2;Baugewerbe/Immobilien;Construction/Immobilier;Building trade/Real estate;Edilizia/Immobiliare
3;Beratung diverse;Conseils divers;Consulting various;Consulenza varie
4;Bildungswesen;Formation;Education;Istruzione
5;Chemie/Pharma;Chimie/Pharma;Chemicals/Pharmaceuticals;Chimica/farmaceutico
6;Detail-/Grosshandel;Commerce de détail/en gros;Retail trade/Wholesaling;Commercio al dettaglio/all'ingrosso
7;Dienstleistungen allgemein;Services en général;Service sector in general;Servizi generale
8;Energie-/Wasserwirtschaft;Energie/Gestion de l'eau;Utilities;Energia/Acqua
9;Gastgewerbe/Hotellerie;Hôtellerie/Restauration;Catering/Hotel;Ristorazione/Industria alberghiera
10;Gesundheits-/Sozialwesen;Santé/Soins;Health care/Social services;Servizi sanitari/Sociali
11;Gewerbe/Handwerk allgemein;Industrie/Artisanat;Commercial operation/Skilled crafts;Piccola industria/Artigianato generale
12;Industrie diverse;Industrie divers;Industry various;Industria varie
13;Informatik/Telekommunikation;Informatique/Télécommunication;Information technology/Telecom.;Informatica/Telecomunicazioni
14;Land-/Forstwirtschaft/Holz;Agriculteur/Forestier/bois;Agriculture/Forestry/Wood;Agricoltura/Silvicoltura/legnami
15;Medien/Druckerei/Verlage;Médias/Imprimerie/Edition;Media/Printing/Publishing;Media/Tipografia/Editoria
16;öffentl. Verwaltung/ Verbände;Admin. publique/Association;Public administration/Associations;Pubblica amministrazione/ Associazioni
17;Tourismus/Reisen/Freizeit;Tourisme/Voyages/Loisirs;Tourism/Travel/Recreation;Turismo/Viaggi/Tempo libero
18;Transport/Logistik;Transport/Logistique;Transport/Logistics;Trasporti/Logistica
19;Rechts-/Wirtschaftsberatung;Conseil en droit/économie;Legal/Business advice;Consulenza legale/consulenza economica
20;Versicherungen;Assurances;Insurance;Assicurazioni
21;Konsum-/Luxusgüterindustrie;Industrie consommation/luxe;Consumer/Luxury goods industry;Industria dei beni di consumo e dei beni di lusso
22;Maschinen-/Anlagenbau;Construction machines/installations;Machine/System construction;Costruzione di macchine utensili/impiantistica
23;Medizinaltechnik;Technologie médicale;Medical Technology;Tecnica medicinale
24;Personalberatung;Cabinet de recrutement;Recruitment agency/Staffing;Società di reclutamento
