Country;Region/State;Dealer;Street;ZIP Code;City;Phone;E-Mail;Web;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;Snell Sports;Rue Paccard;74400;CHAMONIX;04.50.53.02.17;snell@cham3s.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;Coquoz Sports;Rue Paccard;74400;CHAMONIX;04.50.53.15.12;coquoz@cham3s.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;Sports Alpins;Place Edmond Désailloud;74400;CHAMONIX;04.50.53.13.60;sportsalpins@cham3s.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;Amoudruz;Rue Chantemerle;74100;VILLE LA GRAND;04.50.87.24.73;bamoudruz@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;SAVOIE;Noge sports;Zac de super U;73700;BOURG St MAURICE;04.79.04.04.30;;www.intersport-bourg.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;RHONE;Caribou;Grand rue de la Croix rousse;69004;LYON;04.78.29.50.90;;www.caribou-intersport.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTES ALPES;Alpi'mat;Avenue Maurice Petsche;05100;BRIANCON;04 92 20 59 55;alpimat@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;DROME;Gravicimes;Rue des Alpes;26000;VALENCE;04.75.42.40.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HERAULT;Le Yéti;Rue Louis Bréguet;34830;JACOU;04 67 59 74 95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTES ALPES;Million Montagne;Place Jean Marcellin;5000;GAP;04.92.51.91.78;info@vertige-montagne.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;ISERE;GOZZI SPORTS 2000;cours Becquart Castelbon;38500;VOIRON;04.76.05.83.02;montagne@gozzi-sport2000.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;SAVOIE;MONTANIA;rue Métropole ;73000;CHAMBERY;04 79 69 67 82;info@montania-sport.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;PYRENEES ATLANTIQUES;EUROSKI;Plate Forme Valentin;64440;GOURETTE;05.59.05.12.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;FRANCOIS BAUD SKIS;Route du Téléphérique du Pleney;74110;MORZINE;04.50.79.09.66.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;SAVOIE;BORASO SPORTS;Place des Dolomites;73150;VAL D' ISERE;04.79.06.01.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;SAVOIE;PITTE SPORTS;Immeuble Les Andes;73150;VAL D' ISERE;04.79.06.00.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;ALPES DE HAUTE PROVENCE;SARL SIBERT SPORT;Au Petit Allossard;04260;ALLOS;04.92.83.14.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;MONTJOLY SPORTS;ROUTE NOTRE DAME DE LA GORGE;74170;LES CONTAMINES MONTJOIE;04.50.47.07.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;ISERE;SARENNE SPORTS;Immeuble le Karen;38750;ALPE D'HUEZ;04.76.80.44.76;sarennesports@aol.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;RHONE;SARL ALTITUDE SPORTS 2000;place des 3 Renards;69130;ECULLY;04.78.34.59.55;altitude.sports@wanadoo.fr;www.altitude-sports.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;Intersport France P/C MARCLAZ SARL;Z.A.C. de Marclaz;74200;THONON LES BAINS;04.50.17.02.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;CHRISTAZ SKI SHOP;rue du Mont Blanc;74170;ST GERVAIS;04.50.47.75.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE GARONNE;COMMINGES LOISIRS ;rue de la poste;31800;ST GAUDENS;05.62.00.92.60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;ALPES DE HAUTE PROVENCE;GRANPHI SPORTS;avenue des 3 frères Arnaud;04400;BARCELONNETTE;04.92.81.23.69;granphi@infonie.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;SAVOIE;SPORT AIX TREM;avenue Franklin Roosevelt;73100;AIX-les-BAINS;04.79.88.38.82;contact@sportaixtrem.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;JANIN SPORTS;rue de la Poste;74120;MEGEVE;04.50.21.10.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;JPPM SPORT 2000;Le Pré Biollat;74200;ANTHY SUR LEMAN;04.50.70.60.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;SAVOIE;VALTHO SPORT;Hôtel le Val Thorens;73440;VAL THORENS;04.79.00.01.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;CYPRIEN SPORT;route de l' Essert;74310;LES HOUCHES;04.50.54.41.02;info@cypriensports.com;www.cypriensports.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;SAVOIE;RELIEF;Place du Village;73500;VILLARODIN BOURGET;04.79.20.33.94;skiset-la-norma@wanadoo.fr;www.relief-skiset.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;VERTICAL MOUNTAIN SPORTS;Les Feuillantines;74220;LA CLUSAZ;06.82.85.86.55;ph-goy@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;Intersport France p/c TABER SPORT;C.C. du Bourg;74110;MORZINE;04.50.79.14.24;info@intersport-morzine.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTES ALPES;Intersport France p/c SPORT EVASION;Zone Commerciale de Baratier;05200;EMBRUN;04.92.43.29.00;ebrum@free.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;SAVOIE;LA GODILLE ALPES SPORTS SERVICES;S.A. Sport Service BP 7;73440;LES MENUIRES;04.79.00.63.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;LANCHES SPORTS;Zone Artisanale de Marclaz;74200;THONON LES BAINS ;04.50.70.30.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;ISERE;ALTIPLANO;ZAE des Geymonds;38250;VILLARD DE LANS;06.88.33.76.29;yoannengeldinger@yahoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;SARL GALLAY L'ESCALADE;Aravis Challenge;74220;LA CLUSAZ;04.50.02.41.93;freddy.quenet@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTES PYRENEES;SPORT EVASION;route de Pierrefitte;65110;CAUTERETS;05.62.92.05.85;contacts@sportsevasions.com;www.sportsevasions.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;DOUBS;Intersport France p/c MIJOUX SPORT;rue Edgar Faure;25300;PONTARLIER;03.81.39.47.03;intersport.pontarlier0687@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTES ALPES;TWINNER;SAS Sports Aventures Loisirs;05100;BRIANCON;04.92.25.65.65;twinner.briancon@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;MARIN SPORTS;Les Cristaux Basseville;74920;COMBLOUX;04.50.58.61.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;ISERE;MONTAGNE AVENTURES;Cours Jean Jaurès;38000;GRENOBLE;04.76.46.98.48;montagneaventures@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;ASP DISTRIBUTION SPORT;route du Village;74400;ARGENTIERE;04.50.54.03.96;rob23@wanadoo.fr;www.namastesport.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;SAVOIE;JEAN BLANC SPORTS;Rue Park City;73122;COURCHEVEL 1850;04.79.08.26.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;LANCHES SPORTS ;rue des Chasseurs;74100;VILLE LA GRAND;04.50.87.17.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;ISERE;LA BOITE A SKIS;rue Marceau Leyssieux;38400;ST MARTIN D'HERES;04.76.51.02.59;contact@laboiteaskis.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankreich;HAUTE SAVOIE;OGIER SPORTS CHAMONIX EURL;Les Périades;74230;THONES;04.50.63.16.12;ogier.sports@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
