Land;Region;Name;Strasse;PLZ;Ort;Telefon;E-Mail;Web
Schweiz;VS;Abgottspon Sport GmbH;;3933;Staldenried;027 952 21 92;info@abgottsponsport.ch;www.abgottspon.ch
Schweiz;BE;Action Sport-Shop GmbH;Hauptstrasse 15;3800;Matten bei Interlaken;033 821 10 03;info@nature-events.ch;www.nature-events.ch
Schweiz;LU;Adventure Factory AG;Bahnhofstrasse 37;6210;Sursee;041 210 06 46;info@adfact.ch;www.adventure-factory.ch
Schweiz;AG;Albani Sport AG Oftringen;Luzernerstrasse 2;4665;Oftringen;062 797 12 70;albanisport@smile.ch;www.albani-sport.ch
Schweiz;AG;Albani Sport GmbH Lenzburg;Aavorstadt 39;5600;Lenzburg;062 891 82 72;lenzburg@albanisport.ch;www.albanisport.ch
Schweiz;VS;Alex Burgener Sport AG ;Bahnhofstrasse 72;3920;Zermatt;027 967 27 94;info@burgenersport-zermatt.ch;www.burgenersport-zermatt.ch
Schweiz;FR;Alpha Sport AG;Schwarzseestrasse 16;1712;Tafers;026 494 24 54;astoria@rhone.ch;www.astoria-saasfee.ch
Schweiz;BE;Alpin Center GmbH;Beim Bahnhof;3812;Wilderswil;033 823 55 23;mail@alpincenter.ch;www.alpincenter.ch
Schweiz;UR;Alpina Sport AG;Gotthardstrasse 101;6490;Andermatt;041 887 17 88;info@alpina-sport.ch;www.alpina-sport.ch
Schweiz;BE;Alpine-Center GmbH Kandersteg;Bahnhofstrasse;3718;Kandersteg;033 675 01 01;info@alpinecenter.ch;www.alpinecenter.ch
Schweiz;VD;Altmann Sports SA;Rue de la Madeleine 22;1800;Vevey;021 921 96 77;altmann-sport@bluewin.ch;www.altmannsports.ch
Schweiz;BE;Amstutz Sport AG;Freiestrasse 1;3604;Thun;033 336 88 77;;www.sport-amstutz.ch
Schweiz;GR;Andrist J. AG;Gotschnastrasse;7250;Klosters;081 410 20 80;andrist_sport@bluewin.ch;www.andrist-sport.ch
Schweiz;GR;Angerer Sport;Promenade 49;7270;Davos Platz;081 410 60 60;angerer-intersport@bluewin.ch;www.angerer.ch
Schweiz;AG;ARCTA Bergsport;Hauptstrasse 19;5200;Brugg;056 442 61 21;info@arcta.ch;www.arcta.ch
Schweiz;VD;AUBERT SPORT SA;Rue de la Pontaise 30;1018;Lausanne;021 646 92 52;info@aubertsport.ch;www.aubertsport.ch
Schweiz;VS;Aufdenblatten-Bayard Patricia Sport;Bahnhofstrasse 35;3920;Zermatt;027 966 49 60;info@bayardzermatt.ch;www.bayardzermatt.ch
Schweiz;BE;AZ Sports Marcel Antille &;Avenue Château de la Cour 1-4;3960;Sierre;027 455 55 55;azsport@netplus.ch;www.azsport.ch
Schweiz;LU;Bächli Bergsport ;Schappe-Center;6010;Kriens;041 329 19 00;kreins@baechli-bergsport.ch;www.baechli-bergsport.ch
Schweiz;BS;Bächli Bergsport ;Henric Petri-Strasse 25;4051;Basel;061 225 27 27;basel@baechli-bergsport.ch;www.baechli-bergsport.ch
Schweiz;BE;Bächli Bergsport ;Waldhöheweg 1;3013;Bern;031 330 80 80;bern@baeschli-bergsport.ch;www.baechli-bergsport.ch
Schweiz;SG;Bächli Bergsport ;Bionstrasse 1;9015;St. Gallen;071 314 00 30;stgallen@beachli-bergsport.ch;www.baechli-bergsport.ch
Schweiz;ZH;Bächli Bergsport ;Binzmühlestrasse 80;8050;Zürich Oerlikon;044 317 20 02;zuerich@baechli-bergsport.ch;www.baechli-bergsport.ch
Schweiz;GR;Balzer Sport AG;Rüti;7076;Parpan;081 382 21 41;info@balzersportparpan.ch;www.balzersportparpan.ch
Schweiz;SG;Bannwart Ski + Sport;Obere Harfenbergstrasse 11;9533;Kirchberg;071 931 18 46;bannwart.sport@bluewin.ch;www.bannwartsport.ch
Schweiz;GR;Banzer Sport u. Mode;Neudorfstrasse 36;7430;Thusis;081 651 20 38;banzer.sport@spin.ch;www.banzer-sport.ch/
Schweiz;GR;Bardill Sport AG;Landstrasse 185;7250;Klosters;081 422 10 40;info@bardill-sport.ch;www.bardill-sport.ch
Schweiz;GR;Bardill Sport Shop AG;Brämabüelstrasse 13;7270;Davos - Platz;081 413 23 23;davos@bardill-sport.ch;www.bardill-sport.ch
