"HID";"Prio";"From Day";"From";"To Day";"To";"PID";"FL_ID";"FL_air";"fl_from";"Lcode";"Meal";"PST";"PDT";"PTT";"PS2WT";"PD2WT";"PT2WT";"Spez1";"Spez2";"Spez3";"Spez4";"Spez5";"Spez6";"Spez 7"
1;1;;11.11.07;;18.11.07;1;4;"Belair";"Zürich";"BS";"AI";1300;1240;1200;1750;1620;1540;"Silvester-Gala-Diner: CHF 145.00";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;18.11.07;;25.11.07;2;4;"Belair";"Zürich";"BS";"AI";1300;1240;1200;1710;1620;1540;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;25.11.07;;02.12.07;3;4;"Belair";"Zürich";"BS";"AI";1320;1290;1250;1700;1670;1600;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;02.12.07;;09.12.07;4;4;"Belair";"Zürich";"BS";"AI";1290;1290;1250;1690;1670;1600;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;09.12.07;;16.12.07;5;4;"Belair";"Zürich";"BS";"AI";1300;1290;1250;1750;1670;1600;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;16.12.07;;23.12.07;6;4;"Belair";"Zürich";"BS";"AI";1360;1290;1250;1930;1780;1700;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;23.12.07;;30.12.07;7;4;"Belair";"Zürich";"BS";"AI";1480;1390;1360;2110;1910;1840;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;30.12.07;;06.01.08;8;4;"Belair";"Zürich";"BS";"AI";1530;1430;1390;1940;1810;1740;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;06.01.08;;13.01.08;9;4;"Belair";"Zürich";"BS";"AI";1320;1290;1250;1700;1670;1600;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;13.01.08;;20.01.08;10;4;"Belair";"Zürich";"BS";"AI";1180;1180;1140;1560;1560;1490;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;20.01.08;;27.01.08;11;4;"Belair";"Zürich";"BS";"AI";1180;1180;1140;1560;1560;1490;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;27.01.08;;03.02.08;12;4;"Belair";"Zürich";"BS";"AI";1180;1180;1140;1580;1560;1490;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;03.02.08;;10.02.08;13;4;"Belair";"Zürich";"BS";"AI";1190;1180;1140;1640;1560;1490;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;10.02.08;;17.02.08;14;4;"Belair";"Zürich";"BS";"AI";1300;1240;1200;1750;1620;1540;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;17.02.08;;24.02.08;15;4;"Belair";"Zürich";"BS";"AI";1300;1240;1200;1750;1620;1540;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;24.02.08;;02.03.08;16;4;"Belair";"Zürich";"BS";"AI";1300;1240;1200;1750;1620;1540;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;02.03.08;;09.03.08;17;4;"Belair";"Zürich";"BS";"AI";1300;1240;1200;1750;1620;1540;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;09.03.08;;16.03.08;18;4;"Belair";"Zürich";"BS";"AI";1300;1240;1200;1870;1720;1640;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;16.03.08;;23.03.08;19;4;"Belair";"Zürich";"BS";"AI";1430;1340;1300;2050;1860;1780;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;23.03.08;;30.03.08;20;4;"Belair";"Zürich";"BS";"AI";1530;1430;1390;1980;1810;1740;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;30.03.08;;06.04.08;21;4;"Belair";"Zürich";"BS";"AI";1360;1290;1250;1800;1670;1600;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;06.04.08;;13.04.08;22;4;"Belair";"Zürich";"BS";"AI";1360;1290;1250;1800;1670;1600;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;13.04.08;;20.04.08;23;4;"Belair";"Zürich";"BS";"AI";1360;1290;1250;1800;1670;1600;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
1;1;;20.04.08;;27.04.08;24;4;"Belair";"Zürich";"BS";"AI";1360;1290;1250;1800;1670;1600;"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"Zuschlag Sea view 10 CHF p.P.N-";"050.00 CHF Zuschlag Flüge nach Hurghada und Sharm mit Belair Samstags";"Weihnacht- Gala - Dinner ( AI : 58 CHF  Kinder 2 - 15 J : 0 CHF )";"Silvester-Gala-Dinner ( AI : 126 CHF  Kinder 2 - 15 J : 0 CHF )";"40.00 CHF Visakosten";"    35.00 CHF Auftragspauschale"
